,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
376,Ponta do Sol,22,BR,1563144958,62,-20.63,-46.0,63.94,1.77
377,Labuhan,63,ID,1563144960,76,-2.54,115.51,74.2,0.65
378,Kasangulu,35,CD,1563145371,69,-4.59,15.17,78.8,2.3
379,Portland,40,US,1563145011,47,43.66,-70.25,81.0,11.41
380,Kondinskoye,9,RU,1563145371,89,59.65,67.41,66.64,9.4
381,Vao,46,EE,1563145372,73,59.1,26.19,48.28,5.21
382,Champaign,90,US,1563145208,73,40.12,-88.24,91.4,9.17
383,Canto do Buriti,78,BR,1563145372,47,-8.11,-42.94,79.96,5.66
384,Cherskiy,100,RU,1563144937,80,68.75,161.3,44.32,23.24
385,Athabasca,83,CA,1563145202,80,54.72,-113.29,63.58,3.85
386,Vanimo,41,PG,1563145372,77,-2.67,141.3,80.86,3.58
387,Tazovskiy,49,RU,1563144975,91,67.47,78.7,56.74,11.18
388,Antalaha,58,MG,1563145373,90,-14.9,50.28,56.92,4.36
389,Souillac,0,FR,1563144943,49,45.6,-0.6,69.8,9.17
390,Svetlogorsk,75,RU,1563145373,72,53.14,59.15,66.2,6.71
391,Palapye,0,BW,1563145373,59,-22.54,27.12,48.1,3.18
392,Gorontalo,100,ID,1563145290,74,0.54,123.06,78.7,9.78
393,Belyy Yar,0,RU,1563145374,68,53.6,91.39,64.4,6.71
394,Port Shepstone,0,ZA,1563145374,24,-30.74,30.45,62.5,8.66
395,Banikoara,70,BJ,1563145374,69,11.3,2.44,79.42,4.9
396,Fushun,1,CN,1563145375,88,41.89,123.95,71.6,4.47
397,Sabang,100,PH,1563145375,93,13.8,121.11,74.56,1.54
398,Solnechnyy,64,RU,1563145375,62,50.72,136.64,75.46,2.37
399,Northam,0,AU,1563144947,66,-31.65,116.67,51.8,12.75
400,Shubarkuduk,59,KZ,1563145375,87,49.15,56.49,66.1,27.16
401,Sobolevo,99,RU,1563145376,87,54.43,31.9,52.78,2.66
402,Saint-Ambroise,75,CA,1563145376,60,48.56,-71.32,68.0,13.87
403,Aswan,0,EG,1563145376,24,24.09,32.9,93.2,9.17
404,Leku,71,ET,1563145376,95,6.87,38.44,56.92,5.84
405,Boca do Acre,56,BR,1563145377,56,-8.76,-67.39,80.14,1.52
406,Kuala Lumpur,75,MY,1563145218,94,3.15,101.71,77.0,4.7
407,Hambantota,97,LK,1563144985,81,6.12,81.12,81.58,17.83
408,Bitung,20,ID,1563145377,65,1.44,125.19,80.6,10.29
409,Jiazi,20,CN,1563145377,94,19.61,110.49,80.6,3.58
410,Zyryanka,71,RU,1563145377,79,65.73,150.89,53.68,20.51
411,Vancouver,1,CA,1563145272,46,49.26,-123.12,75.99,9.17
412,Peniche,20,PT,1563145378,88,39.36,-9.38,66.99,8.05
413,Evensk,94,RU,1563145378,89,61.92,159.24,53.86,5.75
414,Rebrikha,7,RU,1563145378,78,53.08,82.34,59.98,11.48
415,Los Llanos de Aridane,75,ES,1563145378,88,28.66,-17.92,71.6,18.34
416,Jiuquan,0,CN,1563145379,21,39.73,98.49,75.82,5.82
417,Kavieng,99,PG,1563144959,80,-2.57,150.8,80.32,4.59
418,Acapulco,75,MX,1563144952,70,16.86,-99.88,86.0,8.05
419,Khor,99,RU,1563145379,80,47.88,134.96,70.6,5.39
420,Honjo,40,JP,1563145379,78,39.38,140.05,73.4,5.82
421,Talas,0,KG,1563145380,44,42.52,72.24,61.6,2.64
422,Ostersund,98,SE,1563145380,81,63.18,14.64,48.2,11.41
423,Oktyabrskiy,68,RU,1563145001,87,55.61,37.97,57.0,2.24
424,Zunyi,100,CN,1563145380,86,27.73,106.92,71.32,3.38
425,Vila Velha,0,BR,1563144983,74,-3.71,-38.6,86.0,4.7
426,Zhangye,100,CN,1563145381,33,38.94,100.46,69.16,4.61
427,Ugoofaaru,100,MV,1563145381,73,5.67,73.0,83.38,8.97
428,Saint Anthony,1,US,1563144994,18,43.97,-111.68,89.6,9.17
429,Mareeba,58,AU,1563145381,68,-16.99,145.42,69.01,13.87
430,Lompoc,0,US,1563144891,31,34.64,-120.46,89.6,12.75
431,Yerbogachen,100,RU,1563145381,65,61.28,108.01,69.7,7.9
432,Mecca,0,SA,1563144802,37,21.43,39.83,82.3,3.96
433,Maroon Town,20,JM,1563145382,70,18.34,-77.8,86.0,23.04
434,Susanville,1,US,1563145382,13,40.42,-120.65,87.8,21.92
435,Ngawi,0,ID,1563145382,76,-7.4,111.45,69.7,2.53
436,Catia La Mar,20,VE,1563145382,55,10.6,-67.03,87.8,8.05
437,Cayenne,20,GF,1563144960,83,4.94,-52.33,80.6,5.82
438,Martapura,41,ID,1563145383,82,-3.41,114.85,75.1,5.32
439,Fallon,1,US,1563145383,40,46.84,-105.12,89.6,6.93
440,Faya,0,SA,1563145383,37,18.39,42.45,82.4,9.17
441,Ewa Beach,40,US,1563145383,48,21.32,-158.01,88.0,19.46
442,Gornyy,100,RU,1563145384,83,51.76,48.54,60.52,4.79
443,Snasa,100,NO,1563145384,97,64.25,12.38,44.86,3.06
444,Nurobod,0,UZ,1563145384,31,40.91,69.8,78.8,4.7
445,Lakatoro,97,VU,1563145384,77,-16.11,167.42,77.62,7.45
446,Kawalu,48,ID,1563145384,87,-7.38,108.21,65.92,2.91
447,Marsaxlokk,75,MT,1563145385,88,35.84,14.54,78.8,12.75
448,San Jeronimo,6,PE,1563145385,84,-13.65,-73.37,46.66,3.65
449,Alice Town,1,BS,1563145385,75,25.72,-79.3,83.56,12.1
450,Peleduy,48,RU,1563145385,61,59.63,112.75,70.6,8.05
451,Tayshet,69,RU,1563145385,96,55.94,98.01,56.38,2.51
452,Winslow,24,GB,1563145328,87,51.94,-0.88,59.0,4.7
453,Llangefni,71,GB,1563145303,87,53.26,-4.31,60.01,3.36
454,Buala,97,SB,1563144986,73,-8.15,159.59,81.22,2.59
455,Tabas,0,IR,1563145386,13,33.6,56.92,98.6,2.24
456,Tame,96,CO,1563145386,91,6.46,-71.72,53.86,4.32
457,Hamilton,40,CA,1563144944,44,43.26,-79.87,81.0,9.17
458,Severo-Kurilsk,93,RU,1563144939,97,50.68,156.12,44.14,11.9
459,Libourne,0,FR,1563145386,56,44.91,-0.24,71.01,6.93
460,Bachaquero,55,VE,1563145387,61,9.96,-71.12,86.62,4.72
461,Serik,75,TR,1563145387,73,36.92,31.1,77.0,8.05
462,Boguchany,96,RU,1563144944,88,58.38,97.46,58.0,5.39
463,Chicama,75,PE,1563145387,82,-7.84,-79.15,64.4,10.29
464,Avera,1,US,1563144999,59,33.19,-82.53,93.0,9.17
465,Cartagena,0,ES,1563145388,83,37.63,-1.0,78.01,10.29
466,Teguise,20,ES,1563145388,78,29.06,-13.56,71.6,19.46
467,Port-Gentil,75,GA,1563144936,88,-0.72,8.78,77.0,6.93
468,Mubi,100,NG,1563145388,88,10.27,13.26,73.12,8.12
469,Seoul,40,KR,1563145250,88,37.57,126.98,75.2,3.36
470,Beringovskiy,100,RU,1563144957,72,63.05,179.32,59.8,5.28
471,Uturoa,33,PF,1563145388,78,-16.73,-151.43,78.16,10.16
472,Pingliang,100,CN,1563145389,62,35.54,106.68,66.46,1.01
473,Creston,1,CA,1563145389,25,49.1,-116.52,77.0,8.05
474,Walvis Bay,0,NA,1563144925,93,-22.95,14.51,59.0,2.24
475,Kununurra,0,AU,1563144955,31,-15.77,128.74,60.8,8.05
476,Sijunjung,76,ID,1563145389,94,-0.69,100.95,66.46,1.12
477,Kaeo,5,NZ,1563145004,100,-35.1,173.78,59.0,8.84
478,Maniitsoq,0,GL,1563145390,73,65.42,-52.9,48.28,12.71
479,Guanaja,75,CU,1563145390,74,23.08,-82.07,87.8,13.87
480,Mackay,75,CA,1563145390,67,53.65,-115.58,62.6,12.75
481,Turbat,57,PK,1563145390,85,26.0,63.05,78.34,5.5
482,Kinshasa,35,CD,1563145188,78,-4.32,15.31,78.8,3.36
483,Nabire,84,ID,1563145391,78,-3.36,135.5,74.74,4.85
484,Lorengau,82,PG,1563144984,75,-2.02,147.27,82.48,8.3
485,Tura,99,RU,1563144970,77,64.27,100.22,64.66,5.68
486,Kloulklubed,90,PW,1563145391,78,7.04,134.26,80.6,13.87
487,Kadubivtsi,75,UA,1563145391,100,48.59,25.78,60.01,4.47
488,Tiznit,0,MA,1563145110,93,29.7,-9.73,67.18,3.51
489,Gavrilov Posad,0,RU,1563145391,84,56.56,40.12,48.82,3.0
490,Knyaze-Volkonskoye,0,RU,1563145392,68,48.46,135.46,69.8,4.47
491,Bellevue,20,DE,1563145356,100,50.05,10.19,55.99,6.13
492,Lazaro Cardenas,5,MX,1563145013,14,28.39,-105.62,95.0,12.75
493,Oussouye,65,SN,1563145392,82,12.49,-16.54,79.78,12.3
494,Ozernovskiy,100,RU,1563145392,95,51.5,156.52,44.32,10.27
495,Crateus,52,BR,1563145393,73,-5.18,-40.68,71.86,4.36
496,Pontianak,82,ID,1563145393,77,-0.02,109.34,78.16,17.13
497,Omboue,78,GA,1563145393,83,-1.57,9.26,74.02,13.33
498,San Patricio,100,PY,1563144931,96,-26.98,-56.83,62.14,7.34
499,Armilla,0,ES,1563145393,44,37.14,-3.63,80.01,4.7
500,Bonthe,100,SL,1563145394,86,7.53,-12.5,76.18,8.55
501,Sao Joao da Barra,0,BR,1563145020,78,-21.64,-41.05,73.4,6.93
502,Mbini,97,GQ,1563145021,88,1.58,9.62,76.18,11.81
503,La Ronge,75,CA,1563144976,64,55.1,-105.3,71.6,5.82
504,Sungaipenuh,83,ID,1563145394,95,-2.08,101.38,70.42,3.11
505,Lasa,40,CY,1563145394,73,34.92,32.53,77.0,5.82
506,Luau,0,CD,1563145395,28,-10.7,22.23,62.14,4.97
507,Khasan,61,RU,1563145395,76,42.43,130.64,68.98,4.12
508,Ahuimanu,40,US,1563145395,48,21.44,-157.84,88.0,19.46
509,Baykit,7,RU,1563144975,81,61.68,96.39,56.92,5.48
510,Kita,90,JP,1563145395,100,35.76,139.74,72.0,3.36
511,Cehegin,0,ES,1563145396,59,38.09,-1.8,78.01,4.0
512,Ternate,90,PH,1563145396,88,14.29,120.72,78.8,1.12
513,Kiama,0,AU,1563144962,62,-34.67,150.86,55.99,17.22
514,Makakilo City,40,US,1563145003,48,21.35,-158.09,89.01,19.46
515,Kyren,100,RU,1563145396,98,51.68,102.13,49.54,4.18
516,Biak,100,ID,1563145397,93,-0.91,122.88,63.04,6.15
517,Nalut,0,LY,1563145397,11,31.86,10.98,93.46,13.24
518,Araouane,29,ML,1563145397,26,18.9,-3.53,95.8,5.28
519,Nchelenge,0,ZM,1563145397,51,-9.35,28.74,59.98,8.25
520,Talcahuano,0,CL,1563145398,71,-36.72,-73.12,51.8,5.82
521,Charlestown,75,US,1563145398,42,41.38,-71.64,87.8,9.17
522,Ixtapa,75,MX,1563145147,94,20.71,-105.21,86.0,4.7
523,Fort Nelson,40,CA,1563145003,37,58.81,-122.69,71.6,3.36
524,Ginir,72,ET,1563145399,95,7.14,40.71,56.02,5.19
525,Prince Rupert,75,CA,1563145399,77,54.32,-130.32,64.4,6.93
526,Altay,62,CN,1563145011,61,47.83,88.13,58.36,6.31
527,Arys,0,KZ,1563145205,38,42.43,68.8,75.2,2.24
528,Maryborough,83,AU,1563145399,44,-25.54,152.7,57.1,9.51
529,Horsham,82,AU,1563145399,81,-36.71,142.2,50.98,12.53
530,Copperas Cove,1,US,1563145152,49,31.12,-97.9,95.0,11.41
531,Petropavlovsk-Kamchatskiy,93,RU,1563145367,63,53.05,158.65,64.4,6.71
532,Vieques,75,PR,1563145400,74,18.43,-65.83,84.2,11.41
533,Pidhorodna,98,UA,1563145400,82,48.11,30.89,59.44,3.71
534,Le Vauclin,75,MQ,1563144944,74,14.55,-60.84,84.2,16.11
535,Maragogi,62,BR,1563145195,93,-9.01,-35.22,72.04,5.79
536,Arman,93,RU,1563144920,58,59.7,150.17,65.74,6.4
537,Wodonga,50,AU,1563145401,81,-36.12,146.89,48.2,12.75
538,Santa Isabel do Rio Negro,92,BR,1563145401,95,-0.41,-65.02,74.56,2.21
539,Yumen,0,CN,1563145000,23,40.29,97.04,76.18,10.22
540,Aden,21,YE,1563145401,45,12.79,45.03,89.68,5.28
541,Moville,1,US,1563145401,55,42.49,-96.07,89.6,16.11
542,Aginskoye,97,RU,1563145402,61,51.11,114.54,66.0,3.0
543,Turayf,0,SA,1563145402,23,31.68,38.65,77.0,9.17
544,Dakar,0,SN,1563145402,74,14.69,-17.45,80.6,10.29
545,Onega,27,RU,1563145402,88,63.91,38.09,49.0,5.57
546,Tashtagol,0,RU,1563145402,78,52.76,87.85,59.62,1.95
547,Mabaruma,32,GY,1563144966,94,8.2,-59.78,73.48,2.44
548,Olga,1,US,1563144949,33,34.11,-118.17,97.0,11.41
549,Winder,1,US,1563145136,55,33.99,-83.72,87.01,8.05
550,Dukat,0,AL,1563145403,76,40.25,19.57,72.0,4.61
551,Karasjok,75,NO,1563145403,75,69.47,25.52,46.4,3.36
552,Port Moresby,90,PG,1563145403,100,-9.47,147.16,73.4,10.29
